inlf,hourstotalin1975,kidslt6,kidsge6,age,educ,wage,repwage,husage,huseduc,huswage,motheduc,fatheduc,unem,city,exper
1,1528,0,0,47,10,3.861299992,2.950000048,50,12,6.393000126,7,12,14,1,8
1,561,0,3,54,13,2.762900114,2.529999971,57,16,11.71899986,7,7,9.5,1,19
1,2058,0,0,41,11,2.930999994,2.900000095,42,12,4.788300037,12,12,7.5,0,23
1,1823,0,2,43,12,4.388400078,4.199999809,33,14,4.232800007,14,7,11,0,3
1,1680,1,1,31,16,5.416699886,4.699999809,32,12,7.106599808,12,10,7.5,0,13
1,1440,0,0,47,17,9.861100197,7.099999905,46,12,8.333299637,7,7,7.5,1,8
1,4950,0,2,35,12,0.161599994,2.75,37,12,6.988800049,10,10,7.5,0,17
1,1176,0,3,45,16,0.382600009,3.75,48,17,9.591300011,7,7,11,1,4
1,1100,1,0,33,12,3.636399984,3.579999924,39,12,6.020400047,7,7,7.5,0,15
1,1516,0,1,54,16,2.374700069,2.400000095,55,12,2.968600035,12,7,3,0,11
1,900,0,4,35,8,4.666699886,3.950000048,41,12,7,10,7,9.5,0,7
1,1080,1,2,31,12,1.851899981,2.25,37,10,7.162700176,7,7,7.5,0,0
1,480,0,0,55,12,5.199999809,0,60,12,4.736400127,7,7,7.5,0,0
1,288,0,2,34,12,3.298599958,4.619999886,36,12,8.781000137,12,16,11,1,10
1,1875,0,1,38,13,8.5333004,8.5,41,12,9.831500053,10,12,7.5,1,8
1,630,0,1,45,11,2.063499928,0,51,10,6.649600029,7,7,7.5,1,2
1,234,0,1,47,12,2.564100027,2.5,48,10,9.848500252,12,3,7.5,1,4
1,1600,0,2,39,12,2.1875,0,42,11,9.803899765,7,7,5,1,6
1,960,1,0,36,14,6.25,0,37,13,8.260399818,7,7,11,1,18
1,120,1,2,33,12,3.333300114,0,32,14,9.06760025,7,7,9,1,3
1,2025,0,0,50,12,4.444399834,4.800000191,54,13,8.508199692,7,12,5,1,22
1,1809,0,0,58,12,6.633500099,6.449999809,59,14,7.156499863,3,7,7.5,1,33
1,3087,0,0,49,17,8.422400475,9.979999542,47,13,7.042300224,12,12,11,1,28
1,910,0,2,41,14,4.395599842,0,40,17,6.593400002,16,12,14,1,23
1,1840,0,1,51,12,2.44569993,2.5,53,8,4.345699787,7,14,11,0,27
1,784,0,0,53,9,1.224499941,2.25,60,10,7.236199856,3,7,14,1,11
1,400,1,2,36,12,1.625,0,40,7,1.74000001,12,7,11,1,6
1,1000,0,2,46,12,3,5.5,46,12,6.89659977,7,7,9.5,1,11
1,1904,0,2,36,12,4.726900101,4.199999809,37,12,5.045499802,12,12,11,1,14
1,1771,0,1,53,14,1.129299998,9.979999542,48,16,17.25,12,12,14,1,17
1,1486,0,3,40,16,7.402400017,6.25,54,16,8.333299637,16,14,11,1,17
1,740,0,2,42,17,4.459499836,1.649999976,45,16,9.375,12,10,9,0,14
1,1820,1,1,33,15,2.472500086,0,32,16,8.279000282,12,12,11,1,11
1,1275,0,3,43,12,1.882400036,3,47,14,4.5,7,7,7.5,1,7
1,450,1,0,31,16,4,4,30,16,4.199500084,14,16,14,1,8
1,1221,0,0,47,17,8.18999958,5.989999771,47,16,16.06399918,7,7,7.5,1,6
1,1550,0,0,54,17,7.09679985,6,58,17,11.27700043,10,17,11,1,8
1,180,1,3,33,12,1.666700006,0,33,11,0.549399972,7,3,3,0,4
1,2090,0,0,43,16,3.444999933,3.849999905,47,14,9.548000336,14,10,11,1,25
1,1960,0,1,46,13,4.234700203,4.199999809,49,13,5.333300114,7,9,3,0,24
1,1440,0,3,35,12,2.777800083,4.099999905,38,9,5.454500198,7,7,14,1,11
1,794,0,3,37,11,1.889199972,3.849999905,39,12,5.902599812,12,3,9.5,1,19
1,993,0,2,37,16,5.035200119,8.300000191,39,17,9.857600212,12,16,14,1,9
1,160,0,3,34,14,1.25,0,38,14,11.68500042,17,12,7.5,1,19
1,105,1,0,43,16,2.85710001,0,44,17,6.227799892,7,7,9.5,0,14
1,1200,0,0,46,12,4.116700172,4.329999924,48,12,9.174799919,7,7,9.5,1,22
1,450,0,3,35,9,1.777799964,2.599999905,42,12,6.297200203,3,7,5,1,6
1,996,0,0,46,17,13.5539999,9.979999542,59,17,10.47099972,12,12,9.5,1,23
1,1052,0,0,46,14,4.562699795,4.900000095,48,16,14.58300018,7,3,11,1,15
1,1128,0,2,43,12,2.12770009,2.400000095,46,10,6.214300156,7,7,14,1,6
1,1840,0,0,30,12,2.989099979,3.75,30,12,6.628799915,7,7,7.5,0,11
1,1910,0,2,41,11,2.565399885,2.569999933,46,9,3.824599981,3,7,5,0,2
1,980,0,1,54,12,5.612199783,5,54,15,7.8125,7,7,14,1,22
1,2317,0,1,31,12,2.805399895,3.869999886,41,9,3.480600119,10,10,7.5,1,10
1,1089,0,0,44,10,1.606999993,0,47,11,5.550000191,10,10,9.5,1,14
1,800,0,1,32,12,2.25,0,31,16,11.59399986,12,7,11,1,12
1,1230,0,0,47,5,2.032500029,2.819999933,53,5,9.523799896,7,12,14,1,9
1,1158,0,1,46,17,5.532000065,8.100000381,57,17,7.280499935,14,17,7.5,0,13
1,2272,0,0,37,11,1.584499955,3.710000038,47,8,3,10,10,7.5,0,18
1,528,0,2,51,12,3.787899971,0,50,11,10.39999962,7,7,7.5,0,8
1,1000,0,1,49,12,3,0,49,12,10.05000019,7,7,14,1,11
1,520,0,4,36,14,8.653800011,0,37,13,8.786600113,10,12,9.5,1,9
1,760,0,1,39,11,4.210499763,3.950000048,44,12,10.14000034,12,7,9.5,1,9
1,1920,0,2,48,12,4.6875,4.300000191,50,8,5,12,12,9.5,1,14
1,1220,0,2,38,14,4.098400116,4.840000153,43,17,11.88799953,7,7,5,1,9
1,200,0,2,40,12,25,3,42,12,13.33300018,7,7,7.5,1,2
1,2480,1,5,39,10,2.633100033,4.199999809,36,17,8.680600166,7,7,3,0,12
1,2750,0,0,37,16,6,9,43,17,7.291699886,12,7,7.5,1,15
1,2014,0,1,49,13,5.41260004,4.050000191,47,12,3.524199963,7,14,14,1,11
1,1355,0,3,33,12,0.664200008,1,35,17,6.181799889,12,7,9.5,0,7
1,80,0,0,30,12,1.25,0,32,16,2.975500107,12,12,11,1,9
1,1670,0,0,54,12,2.275399923,2.099999905,56,8,4.576900005,12,7,9.5,0,19
1,520,0,4,39,11,3.461499929,3.049999952,40,12,3.105600119,10,7,11,0,11
1,288,0,3,43,12,4.166699886,3,43,12,5.822800159,12,12,14,1,8
1,2014,0,3,31,9,4.468699932,4.260000229,32,12,7.5,10,3,9.5,1,13
1,800,0,3,33,13,1.75,0,37,14,8.333299637,12,7,7.5,1,4
1,1984,0,3,40,12,3.669399977,4.25,39,14,9.234700203,12,12,14,1,7
1,1823,0,1,36,12,6.582600117,6,39,9,5.5,12,12,3,0,19
1,1500,0,0,51,12,2.599999905,2,51,12,6,7,7,9.5,1,14
1,2261,0,1,44,13,4.865099907,5.5,43,12,6.666699886,12,7,9.5,1,14
1,1728,0,3,42,16,5.787000179,6.25,48,14,13.06099987,12,14,9.5,1,3
1,1960,0,1,40,12,4.540800095,5,40,8,12.79399967,12,12,7.5,1,9
1,1578,1,1,34,16,9.505700111,7.71999979,33,16,12,12,17,9.5,1,7
1,1316,0,0,30,17,10.63799953,7,41,16,6.730000019,16,17,11,1,7
1,1530,0,0,54,12,1.111099958,1.129999995,53,12,6.678999901,7,7,14,0,14
1,2220,0,0,51,12,4.054100037,4.369999886,54,12,4.394499779,16,7,3,0,29
1,1336,0,2,44,9,2.687099934,2.640000105,46,11,4.6875,7,10,11,0,19
1,1008,0,1,43,12,2.976200104,2.5,42,9,7.698900223,7,7,11,1,14
1,1944,0,1,34,12,3.172800064,3.230000019,37,8,4.328700066,10,7,7.5,0,16
1,2000,0,0,45,13,3.549999952,3.450000048,52,12,6.741600037,12,7,11,1,10
1,258,0,0,39,12,17.90699959,0,47,7,9.352499962,10,3,11,0,12
1,1785,0,0,50,12,3.417399883,5.75,48,10,9.142900467,0,0,14,1,24
1,480,0,0,52,12,3.333300114,0,53,12,2.641799927,7,7,14,0,6
1,772,0,2,41,12,3.885999918,7.5,45,12,7.364999771,12,12,7.5,1,9
1,900,0,0,59,10,2.311100006,2.220000029,59,7,1.406599998,12,7,5,0,14
1,1428,0,0,52,12,1.710800052,2.5,60,8,1.519199967,10,7,14,0,26
1,210,0,0,46,16,2.114300013,4,49,12,3.343899965,12,12,14,0,7
1,239,1,5,41,12,9.933099747,4.5,48,16,2.910599947,3,7,11,1,4
1,1878,0,2,33,11,3.027699947,3.5,35,8,4.383399963,7,7,9.5,0,15
1,215,0,0,45,12,1.860499978,2.299999952,38,12,4.209799767,12,12,5,1,23
1,2340,1,2,36,10,0.128199995,0,37,8,3.712899923,10,7,7.5,0,1
1,1960,0,1,48,12,6.632699966,6.300000191,56,10,10.60599995,7,7,14,1,29
1,532,0,1,47,12,5.639100075,3.599999905,47,11,8.638199806,7,3,11,1,9
1,394,0,0,45,12,1.598999977,2.5,45,12,3.836699963,7,7,7.5,0,6
1,675,0,2,37,12,2.666699886,3,48,17,7.167099953,7,7,7.5,0,11
1,1515,0,4,46,16,7.920800209,6.800000191,49,14,8.863400459,12,10,14,1,17
1,1030,0,3,43,17,5.339799881,5.800000191,46,16,7.736899853,12,12,5,1,6
1,1250,0,2,42,12,4,4,46,17,9.170200348,7,7,7.5,1,7
1,1158,1,2,34,17,6.04489994,5.099999905,39,17,11.28999996,12,12,7.5,1,2
1,112,0,0,52,12,6.25,0,53,12,6.326900005,7,7,7.5,1,24
1,336,0,3,37,12,2.976200104,2.200000048,52,9,4.746799946,10,7,7.5,0,4
1,1984,0,1,37,12,4.23390007,4.78000021,40,12,4.888500214,10,7,5,0,11
1,716,0,0,52,8,3.491600037,2.200000048,59,7,2.484200001,7,7,5,0,25
1,1410,1,0,30,12,4.96449995,1.279999971,30,14,8.546999931,12,12,7.5,0,11
1,1300,0,1,31,13,2.769200087,0,32,12,6.637899876,17,7,11,1,2
1,1640,0,1,38,12,3.658499956,3.25,46,12,3.186300039,7,7,7.5,0,19
1,1202,0,3,43,12,5.393499851,0,48,16,4.546599865,7,7,9,1,7
1,489,0,1,49,8,0.656400025,2.289999962,51,8,12.78899956,7,7,5,1,2
1,2076,0,0,55,12,4.768799782,4.679999828,58,10,6.527999878,7,7,5,1,20
1,526,0,2,38,17,8.555100441,4.199999809,42,17,16.40299988,12,14,9.5,1,10
1,1721,0,0,52,17,10.45899963,9.5,56,16,7,14,17,14,1,19
1,1327,0,0,48,12,2.637500048,2.569999933,51,11,13.54199982,7,7,11,1,17
1,584,0,2,32,13,6.849299908,4.320000172,33,12,6.712999821,12,10,11,1,12
1,1376,0,1,32,12,5.087200165,5,33,17,5.448699951,7,7,5,1,11
1,1040,0,2,38,12,0.961499989,0,41,17,6.687200069,7,7,7.5,1,6
1,548,0,3,46,12,4.306600094,3.690000057,47,12,9.09430027,16,12,14,1,10
1,15,0,3,40,12,7.066699982,0,42,9,6.533699989,7,7,7.5,0,4
1,1980,0,4,31,9,2.525300026,2.559999943,36,10,4.68599987,10,7,5,1,2
1,1520,0,1,43,10,7.89470005,5,50,12,8,12,9,9.5,1,13
1,1880,0,0,51,12,4.148900032,3.900000095,51,12,4.052999973,7,7,7.5,0,21
1,1260,1,0,30,16,8.174599648,8.170000076,34,17,8.163299561,16,14,5,1,9
1,1092,0,0,52,13,9.597100258,0,53,15,16.5,10,7,11,1,4
1,1587,1,5,30,8,2.016400099,2.299999952,33,8,3.461499929,3,3,7.5,0,2
1,156,0,0,51,16,7.621799946,0,51,16,11.36100006,16,16,11,1,19
1,1939,0,2,31,13,3.19749999,3.430000067,31,12,3.89109993,7,3,7.5,1,4
1,1250,0,4,34,12,1.600000024,1.360000014,52,12,9.605899811,12,16,7.5,1,9
1,610,0,0,49,11,4.098400116,4,59,17,2.66869998,7,7,7.5,1,14
1,270,1,3,35,13,1.48150003,5,41,17,8.886500359,7,16,9.5,1,6
1,660,1,0,53,12,3.636399984,3.150000095,59,12,6.363599777,7,12,7.5,1,24
1,1000,0,3,32,12,1,0,46,16,17.72800064,12,7,11,0,1
1,1920,0,3,38,10,2.604199886,2.930000067,42,10,5.292300224,12,7,7.5,1,13
1,200,0,0,54,12,1.75,0,54,16,15.68599987,7,12,9.5,1,3
1,1500,0,1,47,17,4.800000191,3.599999905,58,8,5.242300034,10,12,11,1,10
1,868,0,1,45,15,5.53000021,6,47,14,3.039499998,14,12,9.5,1,16
1,2318,0,1,47,16,4.098400116,4.199999809,46,16,16.74500084,16,16,5,1,9
1,2000,0,0,59,10,1.25,0,60,12,3.75,7,7,5,0,19
1,60,0,1,32,11,1.666700006,0,31,12,5.81400013,10,9,5,1,4
1,1715,0,1,45,12,3.790100098,3.380000114,49,17,10.83300018,7,7,7.5,1,10
1,550,0,4,40,12,2.363600016,2.25999999,47,12,9.002900124,14,12,5,1,5
1,1960,0,2,47,14,10.20400047,0,50,12,6.539999962,14,12,3,1,7
1,44,1,2,36,16,6.818200111,1.360000014,37,17,5.978300095,12,10,5,0,3
1,1920,0,0,56,14,7.214600086,6.920000076,56,14,8.624799728,7,7,7.5,0,38
1,2540,0,1,41,8,2.448400021,0,43,11,4.832900047,7,12,9.5,0,16
1,156,0,3,48,7,1.198699951,0,51,11,10.9090004,3,7,11,0,13
1,780,1,2,36,12,1.641000032,0,38,12,3.886399984,7,7,11,0,1
1,3120,0,0,41,12,1.782099962,0,44,13,8.457400322,7,3,5,0,7
1,2040,0,0,41,14,2.941200018,2.799999952,43,12,5,7,10,11,1,15
1,1610,0,3,36,12,4.968900204,4.25,36,13,7.421199799,12,17,9.5,1,10
1,215,0,3,37,12,1.860499978,0,41,12,4.493800163,10,7,3,0,2
1,1120,0,0,38,12,8.035699844,0,42,12,7.02519989,7,3,9.5,1,19
1,846,0,2,43,14,3.971600056,4.199999809,43,9,3.278800011,3,3,7.5,1,25
1,3225,0,0,54,16,3.041599989,0,59,17,1.28610003,12,12,9.5,1,25
1,1376,0,1,38,12,2.907000065,3.75,41,12,5.555600166,7,7,5,1,7
1,980,1,0,30,12,3.061199903,3.599999905,34,16,7.495100021,12,7,11,1,15
1,1838,0,0,49,12,4.89659977,5,48,15,22.10899925,7,7,9.5,1,11
1,1494,0,1,45,13,4.01609993,2.5,49,6,9.057999611,10,10,9.5,1,25
1,450,0,0,51,13,5.555600166,3.5,57,14,11.53800011,7,7,9.5,1,19
1,1976,0,0,34,10,1.2227,2.450000048,39,7,6.046800137,0,10,7.5,1,4
1,2012,0,2,34,12,2.683900118,3.609999895,34,10,1.365300059,7,7,7.5,1,14
1,561,0,1,41,12,2.673799992,3.25,41,17,16.54999924,10,9,7.5,1,19
1,1715,0,1,49,12,9.329400063,7.050000191,49,17,8.771900177,9,9,11,1,18
1,1912,0,0,32,12,3.138099909,3.599999905,46,14,9.635399818,12,12,5,1,14
1,3686,0,0,32,14,0.542599976,0,39,14,6.678800106,12,12,7.5,1,11
1,1080,0,2,32,17,8.611100197,4.650000095,35,15,7.572700024,12,12,5,0,4
1,1799,0,0,47,10,3.66869998,3.25,48,10,7.8125,3,7,7.5,1,29
1,1984,0,1,39,9,2.318500042,2.299999952,47,4,1.983500004,9,9,7.5,0,21
1,1839,0,0,49,12,2.881999969,3.269999981,53,15,9.523799896,12,12,11,1,24
1,1579,0,3,37,12,3.166599989,0,39,14,6.425000191,12,7,7.5,1,19
1,96,0,0,59,16,3.645800114,0,60,15,10.98400021,14,12,7.5,1,31
1,1920,0,0,50,12,6.25,5.46999979,56,12,12.76599979,7,7,14,1,28
1,1688,0,1,32,17,10.2489996,9.800000191,33,17,9.554499626,12,12,9.5,1,15
1,1589,0,0,46,12,3.209599972,5.539999962,48,16,5.49669981,12,12,11,0,27
1,345,0,2,43,17,7.652200222,5,46,17,9.761799812,12,14,14,0,13
1,1521,0,3,37,11,1.97239995,2.299999952,42,6,5,7,7,7.5,0,4
1,1490,0,2,32,16,4.697999954,3.900000095,35,14,5.999499798,12,14,9,1,10
1,989,0,1,39,11,2.123399973,2.75999999,43,14,6.914899826,10,10,9,1,8
1,600,0,2,34,13,2.333300114,2.900000095,35,12,4.966899872,12,12,7.5,0,4
1,2646,0,1,39,11,2.389600039,0,41,8,2.389600039,7,7,5,1,18
1,2149,0,3,45,8,1.256399989,2.5,48,9,4.512199879,7,7,5,1,3
1,320,0,0,50,11,1.093799949,0,54,11,9.230799675,3,12,7.5,1,11
1,1600,0,1,40,12,3.75,3.299999952,39,12,11.45800018,12,7,7.5,1,8
1,2419,0,1,30,10,3.307199955,3.900000095,34,12,7.699299812,7,7,11,1,10
1,2005,0,0,57,17,5.135200024,5.25,56,17,4.183000088,16,12,11,1,33
1,1960,0,1,39,12,6.632699966,3.599999905,43,12,8.333299637,12,12,9,1,19
1,2147,0,0,53,12,4.564499855,4.900000095,56,8,5.104199886,12,12,7.5,1,35
1,1207,0,1,48,17,11.84799957,7.150000095,53,17,8.227100372,7,12,5,1,21
1,2000,0,1,46,14,3.75,3.75,48,16,5.663400173,14,14,7.5,0,7
1,1260,0,0,47,12,4.365099907,4.349999905,54,12,5.222000122,7,10,7.5,0,18
1,90,0,1,43,12,3.933300018,4,47,10,7.190000057,7,7,7.5,0,4
1,1800,0,0,47,12,3.333300114,3.25,47,16,13.90699959,12,7,7.5,1,12
